field_id,form_id,name,label,type,order_num,required,options,validation_rules
1,1,description_case,Description of case,textarea,1,1,,
2,1,date_case,Date,date,3,1,,
3,1,setting,Clinical Setting,radio,4,1,"Critical Care, ED, Ward, Transfer, Other",
4,1,summary_of_discussion,Summary of Discussion,textarea,4,1,,
5,1,cf_reflections,Reflections on Case,textarea,5,1,,
6,1,good_practice,Examples of Good Practice,textarea,6,1,,
7,1,areas_improvement,Areas Requiring Improvement,textarea,7,0,,
8,1,agreed_plan,Agreed Plan to Develop Areas Requiring Improvement,textarea,8,0,,
9,1,level,Level of Performance for Stage of Training,radio,9,1,"Below, At, Exceeds",
10,2,description_case,Description of case,textarea,1,1,,
11,2,date_case,Date,date,3,1,,
12,2,setting,Clinical Setting,radio,4,1,"Critical Care, ED, Ward, Transfer, Other",
13,2,summary_of_discussion,Summary of Discussion,textarea,5,1,,
14,2,cf_reflections,Reflections on Procedure,textarea,6,1,,
15,2,good_practice,Examples of Good Practice,textarea,7,1,,
16,2,areas_improvement,Areas Requiring Improvement,textarea,8,0,,
17,2,agreed_plan,Agreed Plan to Develop Areas Requiring Improvement,textarea,9,0,,
18,2,level,Level of Performance for Stage of Training,radio,10,1,"Below, At, Exceeds",
19,3,description_case,Description of case,textarea,1,1,,
20,3,date_case,Date,date,3,1,,
21,3,setting,Clinical Setting,radio,4,1,"Critical Care, ED, Ward, Transfer, Other",
22,3,summary_of_discussion,Summary of Discussion,textarea,5,1,,
23,3,cf_reflections,Reflections on Case,textarea,6,1,,
24,3,good_practice,Examples of Good Practice,textarea,7,1,,
25,3,areas_improvement,Areas Requiring Improvement,textarea,8,0,,
26,3,agreed_plan,Agreed Plan to Develop Areas Requiring Improvement,textarea,9,0,,
27,3,level,Level of Performance for Stage of Training,radio,10,1,"Below, At, Exceeds",
28,4,date_case,Date,date,2,1,,
29,4,trust,"Maintaining Trust, Professional Relationships with Patients",radio,3,1,"No concerns, Minor concerns, Major concerns",
30,4,verbal,Verbal Communication Skills,radio,4,1,"No concerns, Minor concerns, Major concerns",
31,4,team_working,"Team Working, Working with Colleagues",radio,5,1,"No concerns, Minor concerns, Major concerns",
32,4,accessibility,Accessibility,radio,6,1,"No concerns, Minor concerns, Major concerns",
33,4,probity_health,Do you have any concerns about this doctor's probity or health,radio,7,1,"No, Yes",
34,4,comments,Additional comments on professional behaviour,textarea,8,0,,
